% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Nov,268.0,14.0,31,25.0,0.0,True
ET,main,Oct,280.0,13.0,375,25.0,1008.0,True
TS,main,Oct,281.0,14.5,405,30.0,0.0,True
ET,main,Sep,311.100006104,14.5,1115,25.0,0.0,True
ET,main,Aug,292.600006104,18.3999996185,10,30.0,1011.0,True
TS,main,Jul,114.0,17.7999992371,374,0.0,1002.0,True
SS,main,May,281.799987793,31.1999988556,230,25.0,1004.0,True
ET,main,Sep,152.5,15.6999998093,2068,0.0,1002.0,True
ET,main,May,124.099998474,12.7999992371,0,0.0,1006.0,True
TS,main,Sep,120.299995422,19.5,113,0.0,1000.0,True
TS,main,Sep,280.200012207,11.0,168,50.0,0.0,True
TS,main,Sep,137.099990845,11.5999994278,1222,0.0,1004.0,True
ET,main,Nov,286.5,21.6999988556,63,60.0,0.0,True
TS,main,Sep,134.0,12.0,901,0.0,1006.0,True
TS,main,Aug,114.0,20.0,236,0.0,998.0,True
TS,main,Apr,141.199996948,6.2999997139,945,0.0,1006.0,True
TS,main,Aug,301.700012207,13.3999996185,421,35.0,0.0,True
TS,main,Aug,273.200012207,20.6000003815,24,35.0,0.0,True
TS,main,Sep,112.399993896,13.0,314,0.0,1008.0,True
TS,main,Aug,118.699996948,15.0,136,0.0,1003.0,True
TS,main,Nov,157.199996948,5.7999997139,1172,0.0,1004.0,True
TS,main,Oct,114.799995422,12.3000001907,477,0.0,1002.0,True
TS,main,Aug,287.899993896,23.1000003815,231,40.0,0.0,True
ET,main,Aug,289.0,31.6999988556,607,40.0,0.0,True
TS,main,Sep,124.199996948,16.7999992371,181,0.0,1004.0,True
ET,main,Sep,327.899993896,11.6999998093,1616,25.0,0.0,True
ET,main,Aug,147.5,11.5999994278,1535,0.0,1007.0,True
ET,main,Jul,150.0,16.8999996185,2147,0.0,1006.0,True
TS,main,Aug,279.100006104,26.2999992371,0,25.0,1007.0,True
ET,main,Aug,293.0,21.1999988556,313,40.0,0.0,True
TS,main,Aug,303.600006104,18.1000003815,965,55.0,0.0,True
ET,main,Jul,152.0,13.0,1763,0.0,1000.0,True
TS,main,Aug,317.0,10.5,1149,25.0,1010.0,True
ET,main,Jul,146.800003052,8.39999961853,1176,0.0,1006.0,True
TS,main,Aug,157.099990845,9.0999994278,1490,0.0,1006.0,True
TS,main,Aug,131.199996948,13.2999992371,630,0.0,1002.0,True
TS,main,Oct,288.600006104,26.1999988556,582,20.0,0.0,True
ET,main,Sep,300.299987793,19.0,625,30.0,0.0,True
TS,main,Sep,139.599990845,18.2999992371,1659,0.0,1008.0,True
ET,main,Sep,141.5,14.7999992371,1754,0.0,1006.0,True
TS,main,Sep,118.0,21.3999996185,227,0.0,1004.0,True
ET,main,Jun,282.200012207,26.7999992371,190,25.0,1010.0,True
ET,main,May,260.0,15.0,192,35.0,0.0,True
ET,main,May,117.0,15.5,294,0.0,1004.0,True
TS,main,Aug,299.0,17.5,493,30.0,0.0,True
ET,main,May,154.800003052,6.39999961853,1108,0.0,1008.0,True
TS,main,Aug,278.0,15.3999996185,126,30.0,1006.0,True
ET,main,Aug,143.0,16.0,1934,0.0,1006.0,True
ET,main,Sep,308.299987793,15.3999996185,1098,40.0,0.0,True
ET,main,Aug,193.300003052,11.8000001907,1356,15.0,0.0,True
ET,main,Sep,290.0,21.5,200,30.0,1005.0,True
ET,main,Jul,134.5,12.3000001907,959,0.0,1000.0,True
TS,main,Sep,265.5,25.5,266,30.0,1000.0,True
ET,main,Aug,133.0,21.0,1140,0.0,996.0,True
TS,main,Oct,339.399993896,32.8999977112,628,40.0,1001.0,True
TS,main,Sep,132.0,17.2999992371,898,0.0,1006.0,True
ET,main,Aug,287.5,33.0,408,35.0,0.0,True
ET,main,Jul,146.5,19.0,1890,0.0,1006.0,True
TS,main,Jul,129.0,11.0,349,0.0,1002.0,True
TS,main,Jul,135.099990845,18.1000003815,1223,0.0,1008.0,True
ET,main,Aug,140.899993896,14.6999998093,1689,0.0,1002.0,True
TS,main,Aug,299.5,15.0,484,40.0,0.0,True
DS,main,Aug,252.5,18.1999988556,285,30.0,1007.0,True
TS,main,Aug,300.5,12.0999994278,226,50.0,0.0,True
TS,main,Sep,283.600006104,25.1999988556,151,30.0,0.0,True
TS,main,Aug,267.100006104,24.0,419,25.0,0.0,True
TS,main,Sep,115.0,18.0,457,0.0,1000.0,True
TS,main,Sep,117.199996948,16.6000003815,275,0.0,1000.0,True
ET,main,Sep,149.300003052,11.6999998093,1560,0.0,1008.0,True
ET,main,Aug,139.399993896,12.0,1477,0.0,1008.0,True
ET,main,Jun,140.099990845,9.5,1244,0.0,1008.0,True
