% IBTrACS (International Best Track Archive for Climate Stewardship) tropical storm database
@RELATION tropicalstorms

@ATTRIBUTE nature {TS, SS, ET, DS}
@ATTRIBUTE track_type {main, merge, split, other}
@ATTRIBUTE month {Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec}
@ATTRIBUTE lon REAL
@ATTRIBUTE lat REAL
@ATTRIBUTE dist2land REAL
@ATTRIBUTE msw REAL
@ATTRIBUTE mcp REAL
@ATTRIBUTE landfall {True, False}

@DATA
TS,main,Sep,328.299987793,13.0,1545,40.0,0.0,False
ET,main,Oct,270.700012207,23.3999996185,224,40.0,0.0,True
ET,main,Aug,335.0,13.8999996185,813,40.0,0.0,True
TS,main,Sep,273.899993896,22.1999988556,118,40.0,0.0,True
ET,main,Sep,297.700012207,14.6999998093,447,40.0,0.0,True
TS,main,Jul,274.899993896,25.7999992371,299,40.0,0.0,True
TS,main,Aug,306.399993896,24.6999988556,1425,50.0,0.0,True
ET,main,Aug,325.5,13.5999994278,1837,40.0,0.0,True
TS,main,Sep,289.399993896,25.7999992371,569,50.0,0.0,False
ET,main,Sep,273.600006104,17.5,167,40.0,0.0,True
TS,main,Oct,281.600006104,13.5,452,40.0,0.0,True
TS,main,Aug,285.5,29.5,591,70.0,0.0,False
TS,main,Sep,324.0,10.5,1559,40.0,0.0,False
TS,main,Sep,304.700012207,13.8999996185,715,70.0,0.0,True
TS,main,Sep,266.600006104,23.3999996185,409,40.0,0.0,True
TS,main,Oct,291.5,23.6999988556,483,70.0,0.0,False
ET,main,Oct,285.200012207,27.2999992371,402,50.0,0.0,True
ET,main,Sep,299.200012207,39.0,625,80.0,0.0,False
TS,main,Sep,301.5,17.6999988556,753,70.0,0.0,True
TS,main,Sep,301.200012207,14.0999994278,449,50.0,0.0,True
TS,main,Oct,281.0,12.0,280,40.0,0.0,True
TS,main,Sep,268.0,21.5,181,40.0,0.0,True
TS,main,Sep,309.5,25.5,1745,70.0,0.0,False
ET,main,Sep,304.5,11.6999998093,564,50.0,0.0,True
TS,main,Sep,292.0,21.1999988556,252,40.0,0.0,False
ET,main,Oct,312.0,27.0,2041,50.0,0.0,False
TS,main,Oct,265.899993896,24.5,335,40.0,0.0,True
ET,main,Nov,283.5,23.1999988556,178,40.0,0.0,True
TS,main,Jul,272.700012207,25.3999996185,436,40.0,0.0,True
TS,main,Aug,299.5,15.0,484,40.0,0.0,True
ET,split,Aug,299.5,35.5,980,80.0,0.0,True
TS,split,Aug,282.899993896,24.6999988556,64,40.0,0.0,False
ET,main,Sep,305.799987793,8.5,291,50.0,0.0,True
TS,main,Sep,288.100006104,15.0999994278,284,40.0,0.0,True
ET,main,Oct,322.0,15.5999994278,1928,40.0,0.0,False
ET,main,Oct,268.700012207,23.5,287,40.0,0.0,True
TS,main,Oct,323.799987793,16.6000003815,2013,40.0,0.0,False
ET,main,Oct,280.399993896,17.1999988556,169,40.0,0.0,True
TS,main,Nov,309.700012207,14.5999994278,1063,40.0,0.0,True
TS,main,Aug,283.0,31.5,280,40.0,0.0,False
TS,main,Aug,302.0,19.0,803,40.0,0.0,True
TS,main,Aug,271.5,23.5,223,50.0,0.0,True
TS,main,Oct,304.0,14.1999998093,669,40.0,0.0,True
ET,main,Nov,286.5,21.6999988556,63,60.0,0.0,True
TS,main,Jun,273.5,26.6999988556,351,40.0,0.0,True
TS,main,Aug,300.200012207,16.0,607,40.0,0.0,True
TS,main,Aug,301.200012207,14.0999994278,449,40.0,0.0,True
TS,main,Aug,302.5,24.6999988556,1093,50.0,0.0,True
TS,main,Aug,317.5,19.5,1939,50.0,0.0,False
TS,main,Sep,286.5,32.0,409,80.0,0.0,True
ET,main,Sep,271.399993896,23.8999996185,268,40.0,0.0,True
TS,main,Sep,316.5,23.1999988556,2238,50.0,0.0,False
TS,main,Oct,274.899993896,18.1999988556,257,40.0,0.0,True
ET,main,Oct,294.700012207,23.8999996185,615,70.0,0.0,False
ET,main,Oct,284.700012207,27.0999984741,349,40.0,0.0,True
TS,main,Aug,274.5,23.0,133,40.0,0.0,True
TS,main,Aug,329.0,16.0,1455,80.0,0.0,False
TS,main,Aug,271.299987793,25.5999984741,381,40.0,0.0,True
ET,merge,Aug,273.0,20.1999988556,45,40.0,0.0,False
TS,main,Sep,291.0,23.6999988556,466,70.0,0.0,True
ET,main,Sep,292.0,35.2999992371,679,50.0,0.0,False
TS,main,Aug,308.0,37.5,1016,70.0,0.0,False
ET,main,Sep,292.5,19.5,124,50.0,0.0,True
TS,main,Sep,283.200012207,28.5,361,40.0,0.0,True
TS,main,Oct,278.399993896,14.1999998093,172,40.0,0.0,True
ET,merge,Aug,301.5,22.6999988556,881,70.0,0.0,True
TS,main,Sep,302.100006104,14.0,500,110.0,0.0,True
ET,main,Oct,282.399993896,27.5,249,40.0,0.0,False
ET,main,Sep,297.5,38.5,603,70.0,0.0,True
TS,main,Sep,318.5,11.0,1315,40.0,0.0,False
ET,main,Sep,280.899993896,28.6999988556,138,40.0,0.0,True
ET,main,Aug,301.899993896,24.1000003815,1004,50.0,0.0,False
ET,main,Aug,293.0,21.1999988556,313,40.0,0.0,True
TS,main,Aug,266.600006104,25.0,387,40.0,0.0,True
TS,main,Sep,264.5,21.1999988556,167,40.0,0.0,True
TS,main,Sep,306.299987793,15.0,926,50.0,0.0,False
ET,other,Sep,269.0,28.6999988556,45,50.0,0.0,True
TS,main,Sep,304.299987793,24.1999988556,1212,50.0,0.0,False
ET,main,Oct,277.0,23.8999996185,102,40.0,0.0,True
TS,main,Jun,275.200012207,19.1000003815,276,35.0,0.0,True
TS,main,Jun,280.299987793,18.2999992371,137,35.0,0.0,True
TS,main,Aug,302.0,10.5,299,35.0,0.0,True
TS,main,Aug,305.5,14.5999994278,829,55.0,0.0,True
ET,main,Aug,289.0,31.6999988556,607,40.0,0.0,True
